symbol,company_name,sector,industry,data_date,open_price,high_price,low_price,close_price,volume,sma_7,ema_21,rsi_14,macd,micro_pe,micro_pb,micro_roe,micro_roa,micro_eps,micro_eps_ttm,micro_de,micro_current_ratio,micro_quick_ratio,micro_gross_margin,micro_net_profit_margin,macro_vnindex_open,macro_vnindex_high,macro_vnindex_low,macro_vnindex_close,macro_vnindex_volume,macro_vn30_open,macro_vn30_high,macro_vn30_low,macro_vn30_close,macro_vn30_volume,macro_hnxindex_open,macro_hnxindex_high,macro_hnxindex_low,macro_hnxindex_close,macro_hnxindex_volume,macro_upcomindex_open,macro_upcomindex_high,macro_upcomindex_low,macro_upcomindex_close,macro_upcomindex_volume,news_headlines,event_headlines
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2025-12-26,84.200000,87.000000,82.600000,87.000000,9310200,85.428571,83.602716,60.831919,1.359851,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1706.390000,1730.990000,1687.140000,1729.800000,1081379964,1941.780000,1969.070000,1914.650000,1965.970000,544044122,250.360000,251.910000,246.430000,250.530000,101294699,119.980000,120.140000,118.880000,119.740000,81579474,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2025-12-29,86.200000,87.700000,86.100000,87.100000,6228800,86.214286,83.920651,61.052840,1.458218,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1733.390000,1754.840000,1731.630000,1754.840000,681132121,1970.120000,1992.030000,1966.560000,1990.660000,315786519,250.560000,251.770000,250.560000,251.220000,59492312,119.490000,120.600000,119.380000,120.600000,45010544,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2025-12-30,87.000000,88.500000,86.600000,88.500000,7753100,87.014286,84.336956,64.105283,1.630350,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1758.450000,1766.900000,1740.070000,1766.900000,639630103,1994.720000,2009.700000,1975.190000,2009.700000,333689492,251.550000,252.210000,248.220000,250.500000,94680495,120.420000,120.770000,120.080000,120.740000,25883650,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2025-12-31,88.000000,88.400000,87.600000,88.400000,4804600,87.500000,84.706323,63.721124,1.738654,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1760.810000,1787.750000,1760.140000,1784.490000,704538818,2001.680000,2031.610000,2001.680000,2030.630000,346209625,250.660000,251.380000,247.890000,248.770000,59167264,120.770000,121.370000,120.670000,121.370000,40466153,,MWG - Giảm niêm yết 10.000.000 cổ phiếu
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-05,87.900000,88.200000,85.800000,87.400000,5947300,87.485714,84.951203,59.858114,1.723922,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1787.130000,1797.400000,1775.190000,1788.400000,870442791,2029.880000,2039.460000,2007.670000,2028.680000,400480216,248.910000,251.330000,245.760000,246.740000,78868025,121.190000,121.340000,120.280000,120.640000,38774650,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-06,86.800000,89.300000,86.800000,88.800000,6390700,87.600000,85.301094,63.219885,1.804415,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1795.570000,1817.060000,1790.440000,1816.270000,956959249,2033.440000,2058.900000,2022.600000,2055.960000,464537030,246.810000,248.520000,244.670000,246.520000,106231106,120.610000,121.080000,119.880000,120.840000,44020365,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-07,89.000000,89.900000,88.300000,89.800000,4998000,88.142857,85.710085,65.445893,1.926688,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1832.230000,1861.580000,1819.170000,1861.580000,1014370947,2068.380000,2096.760000,2054.450000,2096.760000,573391821,246.980000,249.820000,246.940000,249.400000,77517000,120.390000,121.660000,120.350000,121.510000,48275991,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-08,89.800000,89.800000,86.200000,87.500000,10543900,88.214286,85.872805,56.914002,1.817054,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1880.810000,1888.330000,1850.110000,1855.560000,1262265120,2111.470000,2121.130000,2067.940000,2074.030000,674414850,249.720000,250.990000,246.980000,249.100000,101552361,121.320000,121.940000,121.200000,121.660000,59604000,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-09,86.400000,87.500000,85.600000,86.000000,6472200,88.057143,85.884368,52.140006,1.590793,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1861.020000,1880.160000,1853.160000,1867.900000,1300275020,2077.250000,2090.500000,2051.300000,2066.210000,610141992,249.390000,250.550000,246.040000,247.100000,114306645,121.630000,121.920000,121.400000,121.920000,81372218,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-12,86.000000,87.500000,85.000000,87.500000,8471500,87.914286,86.031244,56.105169,1.515052,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1880.380000,1887.920000,1868.890000,1877.330000,1380092734,2069.160000,2082.020000,2057.830000,2080.240000,700713480,247.170000,251.880000,244.880000,251.880000,115203419,121.880000,123.080000,121.880000,122.760000,86222553,,
